Category,Description
positive,The pretax profit of the group 's life insurance business increased to EUR36m from EUR27m .
positive,The value of the firm 's forestry holdings increased by SEK 3.6 bn .
positive,"Xerox and Stora Enso have teamed up to tailor the iGen3 to the short-run , on-demand packaging market ."
positive,"The upgrade is intended to raise the network capacity from 450 MHz to 630 MHz in several cities , enabling bi-directional services for digital television as well as broadband data ."
neutral,The Finnish company Stockmann has signed the contract with the company Technopolis .
neutral,"At the same time , the market for automated liquid handling devices is already larger than that for pipettes , according to Biohit ."
neutral,Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .
neutral,"The estimated value of the contract is EUR12 .4 m. Vaisala , headquartered in Helsinki in Finland , develops and manufactures electronic measurement systems for meteorology , environmental sciences , traffic and industry ."
positive,"Thereby , the company will expand its offering to North , Central and South America ."
neutral,"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced ."
neutral,"Biohit , Inc. , has expanded its mLINE Family of Pipettors with the addition of the NEW 1-10 ml volume range ."
negative,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % ."
neutral,"Deliveries are to start later in 2010 , and the volume will increase in the years 2011-2012 ."
positive,"Finland 's Nokian Tyres and Kazakhstan 's Ordabasy Corporation signed an agreement to build a plant in Astana to produce car tires , Ordabasy chairman Dinmukhamet Idrisov said at a press conference ."
positive,"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) ."
positive,"is planning to expand its product portfolio in the harbor segment , chief executive Pekka Lundmark told Financial Times Deutschland ."
neutral,"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA ."
neutral,Nokia Messaging 1.1 enables customers to receive e-mails from up to 10 e-mail accounts on their mobile phone supporting all POP or IMAP e-mail services .
neutral,SHARE REPURCHASE 11.01.2008 In the Helsinki Stock Exchange On behalf of Sampo plc Danske Bank A-S Helsinki Branch
neutral,"Takoma will carry out the transaction by acquiring the entire share capital of Moventas Parkano Oy , which runs the factory in Parkano , southern Finland ."
positive,"The agreement will provide The Switch with double the converter capacity , whilst opening up further manufacturing locations in China ."
positive,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland ."
neutral,"The contract value amounts to about EUR11m , the company added ."
positive,The contracts have been signed to acquire uranium produced at the Sotkamo nickel-zinc mine in eastern Finland owned by Talvivaara .
positive,"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 0.43 % at 1,138.84 points on Wednesday ."
positive,"The OMX Nordic 40 ( OMXN40 ) index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed up 1.29 % at 1,084.47 points on Friday ."
neutral,"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar ."
neutral,"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today ."
neutral,"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania ."
neutral,Aldata said that there are still a number of operational aspects to be defined between it and Microsoft and further details of the product and market initiatives resulting from this agreement will be available at a later date .
neutral,"Cargotec 's share capital after the increase totals EUR 64,299,180 ."
positive,"Earnings per share EPS are seen at EUR 0.56 , up from EUR 0.38 ."
positive,Estonia 's beer market overall grew three percent last year to 130 million liters .
positive,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .
neutral,Finnish paper maker UPM-Kymmene Corp. on Monday announced the sale of its wrapping unit Walki Wisa to the CapMan investment group in a move to further concentrate on its core business .
neutral,Following the increase the company+EUR TM s capital totals 5.5 mln Romanian lei $ 1.98 mln-1 .56 mln euro .
neutral,Jacobs has been supporting Storengy 's investment of developing storage sites since 2006 as owner 's engineer .
positive,Most of the increase in net sales was due to the acquisition of Swedish Silva that produces garden tools and boats .
neutral,"The corresponding share capital increase , EUR 1,012,945.50 was entered in the Trade Register today ."
positive,"The equipment will expand container handling capacity at Namibia 's main port of Walvis Bay , on the west coast ."
positive,The expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .
neutral,U.S. District Judge Douglas P. Woodlock yesterday extended a Jan. 17 temporary restraining order until March 7 .
positive,"Operating profit was EUR 11.07 mn , up from EUR 8.65 mn ."
negative,Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .
positive,"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market ."
positive,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety ."
positive,"Kalnapilio-Tauro Grupe ( Kalnapilis-Tauras Group ) , which is owned by Denmark 's Royal Unibrew , raised its market share to 25.18 percent from 23.74 percent , as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters ."
positive,"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M ."
positive,Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki 's construction and engineering divisions are to further improve and adjust their operations in Finland .
positive,The company now estimates its net sales in 2010 to increase considerably from 2009 and its operating result to be clearly positive .
positive,"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side ."
positive,"Basware Corporation stock exchange release August 31 , 2010 at 16:25 Basware signed a large deal with an international industrial group Basware will deliver Invoice Automation solution and Connectivity Services to an international industrial group ."
positive,With this appointment Kaupthing Bank aims to further co-ordinate Capital Markets activities within the Group and to improve the overall service to clients .
neutral,"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 ."
neutral,"The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold ."
neutral,"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds ."
neutral,"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights ."
neutral,"`` These tests are part of a larger campaign which includes various customer trials and demonstrations to make LTE on 800 MHz commercially viable by this summer , '' Nokia Siemens head of LTE business line , Reino Tammela , said ."
positive,"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US ."
neutral,"Helsinki on October 22 , 2008 SSH COMMUNICATIONS SECURITY CORP Board of Directors For further information , please contact : Tomi Laamanen , Chairman , tel. +358 0 400 609 544 Distribution : NASDAQ OMX Helsinki Ltd. ."
positive,The contract was signed in August with Papua New Guinea-based Lihir Gold Ltd ASX : LGL .
neutral,"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said ."
positive,"`` With this agreement , we can continue our good cooperationand at the same time release capital that has been tied up in ourmachinery operation ."
positive,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services ."
positive,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 ."
positive,"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom ."
positive,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years ."
neutral,"Ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently ."
positive,The bank sees a potential for Getinge share to rise .
positive,"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers ."
positive,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals ."
positive,"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries"
neutral,"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it ."
neutral,"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies ."
positive,`` Ixonos has a rich heritage in developing leadership experiences in the smartphone segment .
positive,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .
neutral,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced ."
positive,"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment ."
positive,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier ."
positive,Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .
positive,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57"
positive,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago ."
positive,The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .
negative,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ."
negative,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago ."
positive,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .
negative,Also construction expenses have gone up in Russia .
neutral,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .
negative,Salonen added that data shows producers ' pulp inventories in North America are declining . '
negative,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .
positive,"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business ."
positive,"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said ."
positive,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts ."
positive,"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 ."
positive,"Finnish industrial investor Panostaja Oyj OMX Helsinki : PNAAS OMX Helsinki : PNABS said on Friday 11 July that it has signed a deal to acquire the entire share capital of Kospa Oy , the manufacturer of waste disposal equipment ."
positive,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 ."
positive,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .
positive,"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 ."
positive,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process ."
positive,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive ."
positive,`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .
positive,` By separating side businesses we will be able to faster expand and develop Tapro retail network .
positive,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo ."
neutral,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive ."
positive,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement ."
positive,`` This is a win for all OEMs targeting to develop WiMAX products .
positive,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj ."
positive,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security ."
positive,"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 ."
positive,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service ."
positive,Demand was brisk as expected and order levels have remained high .
neutral,In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .
positive,Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .
positive,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .
positive,Net cash flow from operations is expected to remain positive .
positive,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 ."
positive,Olvi has posted a strong set of figures for the first six months of this year .
positive,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .
positive,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February ."
positive,Talvivaara also maintains its assumption of turning cash flow positive before the year end .
positive,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
neutral,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .
positive,The objective of the planned measures is to achieve significant savings in the next few years .
positive,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year ."
positive,"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News ."
positive,`` Stonesoft sees great promise in the future of IPv6 .
positive,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated ."
positive,16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .
positive,"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China ."
positive,"According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers ."
positive,All of Raisio 's divisions recorded an operating profit .
positive,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group ."
positive,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .
