Category,description
neutral,when this investment is in place atrium plan to expand into the moscow market .
neutral,the new agreement is a continuation to theagreement signed earlier this year with the lemminkainen group whereby cramo acquired the entire construction machine fleet oflemminkainen talo oy ita - ja pohjois suomo and signed asimilar agreement said tatu hauhio managing director ofcramo finland .
neutral,in june it sold a 30 percent stake to nordstjernan and the investment group ha now taken up the option to acquire eqt remaining share .
positive,sponda plc stock exchange release 5 december 2006 at 15.45 eur 1.5 billion syndicated credit facility for sponda sponda ha signed an agreement for a one-year syndicated credit facility for a total of eur 1.5 billion .
positive,the contract cover hdo platform ac800 and cxe880 optical fttb node designed to increase the forward and return path capacity of the transmission network .
positive,"the omx helsinki 25 index wa up 0.92 pct at 2,518.67 and the helsinki cap portfolio index wa 0.91 pct higher at 4,711.19 ."
neutral,- so the sale growth of car considerably influence on the tire market .
neutral,"a maximum of 666,104 new share can further be subscribed for by exercising b option under the 2004 stock option plan ."
neutral,finnish real estate investor sponda plc said on wednesday 12 march that it ha signed agreement with danske bank a-s helsinki branch for a 7-year eur150m credit facility and with ilmarinen mutual pension insurance company for a 7-year eur50m credit facility .
neutral,on the route between helsinki in finland and tallinn in estonia cargo volume increased by 36 while cargo volume between finland and sweden fell by 9 .
neutral,other measure included increasing synergy and economy of scale within the grimaldi group and personnel adjustment divestments and redelivery of excess tonnage .
positive,"rinkuskiai raised the sale by 18.1 percent to 1.37 million liter while the sale of kauno alus grew by 14.3 percent to 960,000 liter ."
positive,telecomworldwire-7 april 2006-tj group plc sell stake in morning digital design oy finnish it company tj group plc said on friday 7 april that it had signed an agreement on selling it share of morning digital design oy to edita oyj .
neutral,tiimari operates 194 store in six country including it core finnish market and generated a turnover of 76.5 mln eur in 2005 .
positive,the combination of all service enabling u to offer a complex and strengthened service chain not only limited to the baltic port connection but also for getting access to the world wide grimaldi network into the mediterranean africa and north america say uwe bakosch .
positive,the company still expects it turnover in 2010 to slightly increase from the level of 2009 adding that market predictability is still too poor for trustworthy forecast on the market development of the contract manufacturing business during the current year .
positive,the acquisition will considerably increase kemira sale and market position in the russian metal industry coating market .
positive,adjusted for change in the group structure the division net sale increased by 1.7 .
positive,the change will optimize the operational efficiency of our growing business said julia prohaska director of marketing communication for fiskars .
positive,they would invest not only in the physical infrastructure but would also provide know-how for managing and developing science and technology park said sunrise valley director andrius bagdonas .
positive,"4 february 2011 - finnish broadband data communication system provider teleste oyj hel : tlt1v saw it net profit jump to eur2 .1 m for the last quarter of 2010 from eur995 ,000 for the same period of 2009 ."
positive,finnish bank of +_land consolidated net operating profit increased from eur 4.8 mn in the first quarter of 2005 to eur 6.4 mn in the first quarter of 2006 .
positive,finnish financial group aktia report operating profit of eur 44.4 mn in january-september 2009 up from eur 37.3 mn in the corresponding period in 2008 .
positive,net sale of finnish food industry company l+ænnen tehtaat continuing operation increased by 13 in 2008 to eur 349.1 mn from eur 309.6 mn in 2007 .
positive,an individual promotion also generated slightly higher-than-expected revenue .
positive,biohit already service many current genesis customer and the customer base is expected to expand a a result of this agreement .
positive,both operating profit and turnover for the three-month period increased respectively from eur0 .9 m and eur8 .3 m a compared to the corresponding period in 2005 .
positive,circulation revenue ha increased by 5 in finland and 4 in sweden in 2008 .
positive,clothing chain sepp+æl+æ net sale increased by 7.0 to eur 30.8 mn .
positive,construction volume meanwhile grow at a rate of 10-15 percent annually .
positive,however biohit estimate it total net sale will continue to grow in 2009 and that favourable trend in net sale will lead to a profit in 2009 .
positive,"in lithuania operating profit rose to eur 190,000 from eur 70,000 in the corresponding period in 2005 ."
positive,"in the fourth quarter of 2008 net sale increased by 2 to eur 1,050.7 mn from eur 1,027.0 mn in the fourth quarter of 2007 ."
positive,"international sale rose by 59.8 to eur 1,244.4 mn ."
neutral,kalmar espana generated net sale of some 11.3 mln euro $ 14.8 mln in 2005 .
positive,net sale grew in the period to x20ac 402 million $ 585us million from x20ac 401 million in 2006 .
positive,net sale increased to eur655m in april to june 2010 from eur438m a year earlier .
positive,net sale totaled eur 93.6 mn up from eur 93.2 mn in the corresponding period in 2005 .
positive,nokia also noted the average selling price of handset declined during the period though it mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .
positive,operating profit increased by 145.1 to eur 8.3 mn from eur 3.4 mn .
positive,operating profit rose to eur 3.11 mn from eur 1.22 mn in the corresponding period in 2009 .
positive,operating profit wa eur 24.5 mn up from eur 23.0 mn .
positive,ramirent net sale in the second quarterended june 30 were euro 128.7 million about u.s. $ 163 million a 3.3-percent increase compared with euro 124.6 million for thesecond quarter last year .
positive,ruukki announced that it ha signed an agreement with aker solution of norway to supply 24 suction anchor in september 2010 from it kalajoki unit in finland .
positive,ruukki delivery volume and selling price showed favourable development and the company comparable net sale grew by 50 year-on-year to eur647m ceo sakari tamminen said .
positive,the bank forecast finland gdp will grow by 2 in 2010 and in 2011 .
positive,"the circuit overall production rate on a weekly basis is now in excess of an average of 40,000 tonne per day with volume in excess of 50,000 tonne per day being reached on individual day ."
positive,the company consolidated operating profit amounted to eur 15.86 mn up from eur 4.14 mn year-on-year .
positive,the fair value of the company investment property grew to eur 2.803 billion at the end of march 2009 from eur 2.691 million a year ago .
positive,the last quarter wa the best quarter of 2009 in net sale and the operating margin rose to 12.2 .
positive,the major brewery increased their domestic beer sale by 4.5 per cent last year to 256.88 million litre from 245.92 million litre in 2004 .
positive,the transaction double tecnomens workforse and add a fourth to their net sale .
positive,- operating profit rose by 26.9 to eur 105.8 ( 83.4 ) million .
positive,after this purchase cramo will become the second largest rental service provider in the latvian market .
positive,the purchase of the operation is part of yit strategy to expand it offering of building system service geographically .
positive,21 october 2010 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today it net profit rose to eur18 .9 m for the first nine month of 2010 from eur15 .1 m for the same period a year earlier .
neutral,a structure bim ( building information modeling ) software from tekla a model-based software provider ha been adopted for the construction management and delivery of a university project in abu dhabi .
positive,finnish financial group aktia operating profit for 2009 increased to eur 47.0 mn from eur 6.6 mn in 2008 .
positive,finnish forest machinery manufacturer ponsse net sale grew to eur 51.3 mn in the first quarter of 2010 from eur 37.5 mn in the corresponding period in 2009 .
positive,finnish kci konecranes ha raised it net sale growth estimate for 2006 from over 25 to over 35 .
positive,finnish pharmaceutical company orion net sale rose to eur 190mn in the first quarter of 2009 from eur 180mn in the first quarter of 2008 .
positive,south african sappi will become the largest foreign forest industry company operating in finland a a result of the acquisition finnish m-real corporation graphic paper business unit .
positive,according to hkscan finland the plan is to increase j+ærvi-suomen portti net sale to eur 80mn to eur 100mn .
positive,advertising and circulation revenue grew by 3.4 and by 0.4 respectively .
positive,after the takeover cramo will become the second largest rental service provider in the latvian market .
positive,alma medium expects it net sale to increase a forecast previously .
positive,also lemmink+æinen profit for accounting period went up to eur 3.1 mn from eur -24.5 mn a year ago .
positive,at the end of march 2007 the group order book wa at eur 39.6 mn up 42 from the corresponding period in 2006 .
positive,"at the same time profit of the company increased by 10 in h1 and reached l 79,000 ."
neutral,aviation system maintenance is based in kansa and generated net sale of usd 2.6 million for 2008 .
positive,besides we have increased the share of meat in various sausage and are offering a number of new taste in the grill product and shish kebab segment paavel said .
positive,both operating profit and net sale for the 12-month period increased respectively from eur10 .5 m and eur28 .8 m a compared to the financial year 2004 .
positive,both operating profit and net sale for the 12-month period increased respectively from eur20 .8 m and eur177 .7 m a compared to the financial year 2004 .
positive,both operating profit and net sale for the 12-month period increased respectively from eur21 .5 m and eur196 .1 m a compared to 2005 .
positive,both operating profit and net sale for the nine-month period increased respectively by 26.6 and 3.4 a compared to the corresponding period in 2006 .
positive,both operating profit and net sale for the six-month period increased respectively from eur13 .8 m and eur143 .6 m a compared to the corresponding period in 2007 .
positive,both operating profit and net sale for the six-month period increased respectively from eur0 .4 m and eur3 .2 m a compared to the corresponding period in 2005 .
positive,both operating profit and net sale for the six-month period increased respectively from eur7 .5 m and eur655 .5 m a compared to the corresponding period in 2005 .
positive,both operating profit and net sale for the three-month period increased respectively from eur16 .0 m and eur139m a compared to the corresponding quarter in 2006 .
positive,both operating profit and sale for the three-month period increased respectively from eur0 .3 m and eur13 .1 m a compared to the corresponding period in 2005 .
positive,both operating profit and turnover for the six-month period increased respectively from eur17 .6 m and eur1149 .9 m a compared to the corresponding period in 2007 .
positive,both operating profit and turnover for the six-month period increased respectively from eur0 .1 m and eur29 .0 m a compared to the corresponding period a year ago .
positive,cargo volume grew by 7 .
positive,comparable operating profit totaled eur 854mn up from eur 730mn in 2004 .
positive,diluted earnings per share ( eps ) rose to eur 0.29 from eur 0.05 .
positive,diluted earnings per share ( eps ) rose to eur 0.52 versus eur 0.09 .
positive,diluted earnings per share ( eps ) rose to eur 1.05 from eur 0.64 .
positive,diluted earnings per share ( eps ) rose to eur 3.68 from eur 0.50 .
positive,ebit margin wa up from 1.4 to 5.1 .
neutral,editor note : grimaldi generated a 1.7 bln euro ( $ 2.182 bln ) turnover in 2005 ansa reported on may 29 2006 .
positive,eps for the quarter wa eur0 .00 a compared with eur0 .01 in the third quarter of 2008 representing a group net sale for the third quarter were eur15 .3 m up by 2.8 a compared with eur14 .9 m in the third quarter of 2008 .
positive,eps from continuing operation came in at 0.30 eur up from 0.17 .
positive,equity ratio wa 60.9 compared to 54.2 in the third quarter of 2007 net sale of the frozen food business totaled eur 11.0 up by about 5 from the third quarter of 2006 .
positive,"eur928 ,000 in q1 2010 6 may 2010 - finnish textile and clothing design company marimekko oyj ( hel : mmo1v ) said today it net profit rose to eur928 ,000 in the first quarter of 2010 from eur13 ,000 in the corresponding period a year earlier ."
positive,finland-based elcoteq se a privately held provider of electronics manufacturing service to communication company said thursday it signed a long-term manufacturing supply deal with communication equipment company andrew corp. .
positive,finnish cutlery and hand tool maker fiskars oyj abp ( hel : fisa ) said today it net profit rose to eur 24.1 million ( usd 33.6 m ) in the third quarter of 2010 from eur 17.9 million a year earlier .
positive,finnish department store chain stockmann oyj abp net profit rose to 39.8 mln euro ( $ 56.8 mln ) for the first nine month of 2007 from 37.4 mln euro ( $ 53.4 mln ) for the same period of 2006 .
positive,finnish messaging solution developer tecnomen corporation ( omx helsinki : tem1v ) said on thursday ( 11 december ) that it ha received an expansion order for it convergent charging solution in latin america .
positive,finnish office supply and computer accessory dealer beltton-group plc said it net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 .
positive,first quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier .
positive,following the acquisition relacom will strengthen it presence in finland serving operator and office market with mobile and fixed network construction installation and maintenance service .
positive,for the first nine month of 2010 the company net profit rose to eur41m from eur30m for the corresponding period of 2009 .
positive,helsinki ( afx ) - retail and wholesale group kesko reported net sale of 659.4 mln eur for february an increase of 10.8 pct year-on-year .
positive,however net sale in 2010 are seen to have grown to eur598 .3 m from eur582 .3 m in 2009 .
positive,however sale returned to growth in april-june 2010 ceo pekka eloholma said .
positive,svyturys-utenos alus which is controlled by the nordic group baltic beverage holding ( bbh ) posted a 4.7-per-cent growth in beer sale for january-may to 46.22 million litre .
neutral,in 2007 contempus generated revenue of nok 69.3 ( approx .
positive,in december alone the member of the lithuanian brewer association sold a total of 20.3 million liter of beer an increase of 1.9 percent from the sale of 19.92 million liter in december 2004 .
positive,in january-september 2009 the group net interest income increased to eur 112.4 mn from eur 74.3 mn in january-september 2008 .
positive,in q1 of 2010 bank of +_land net interest income increased from eur 9.1 mn to eur 9.7 mn .
positive,in sweden operating profit for the period under review totaled eur 3.4 mn up 30.8 from the corresponding period in 2005 .
positive,in the fourth quarter of 2009 orion net profit went up by 33.8 year-on-year to eur33m .
positive,in the second quarter of 2010 the group net profit rose to eur3 .1 m from eur2 .5 m in april-june 2009 .
positive,in the third quarter net sale increased by 12 year-on-year to eur 159.5 million or by 6 at comparable currency rate growth .
neutral,incap estimate it will generate a revenue of 10 mln euro ( $ 13.2 mln ) from it indian operation for 2007 .
neutral,it total annual revenue come up to about 160 mln zloty ( $ 56.9 mln-42 .3 mln euro ) .
positive,kesko agro eesti the retailer and wholesaler of grain agricultural and warehousing machinery and accessory had net sale of 81 million euro in 2007 an increase by one-tenth over the preceding year .
positive,kesko car import and retailing business vv-auto saw sale grow by 17.1 pct .
positive,kone net sale rose by some 14 year-on-year in the first nine month of 2008 .
positive,( adp news ) - feb 11 2009 - finnish management software solution provider ixonos oyj ( hel : xns1v ) said today it net profit rose to eur 3.5 million ( usd 4.5 m ) for 2008 from eur 3.1 million for 2007 .
positive,( adp news ) - feb 12 2009 - finnish it solution provider affecto oyj ( hel : afe1v ) said today it net profit rose to eur 8.5 million ( usd 11m ) in 2008 from eur 7 million in 2007 .
positive,( adp news ) - nov 5 2008 - finnish electronic measurement product and solution maker vaisala oyj ( omx : vaias ) said today that it net profit rose to eur 18 million ( usd 23.1 m ) for the first nine month of 2008 from eur 1
positive,( adp news ) - oct 29 2008 - finnish lifting equipment maker konecranes oyj ( omx : kcr1v ) said today that it net profit rose to eur 116.6 million ( usd 149.1 m ) in the first nine month of 2008 from eur 73.6 million for the s
positive,metso expects it net sale to increase by about 10 in 2008 at comparable exchange rate .
neutral,"m-real generated a turnover of eur5 .6 bn in 2006 and ha 15,500 employee ."
positive,"neste oil corp. ha signed long-term procurement contract with honkajoki oy and findest protein oy both owned by finnish food manufacturer for the supply of animal fat for biodiesel production at neste 200,000 b-cd porvoo finland refinery ."
positive,net interest income increased by 4.5 to eur 31.4 mn from eur 30.0 mn in 2004 .
positive,operating profit of kauppalehti group rose to eur 1.5 mn from eur 1.3 mn and that of marketplace to eur 1.3 mn from eur 1.0 mn in the third quarter of 2006 .
positive,operating profit rose from eur 1.94 mn to eur 2.45 mn .
positive,operating profit rose to eur 26.7 mn from eur 14.9 mn in the corresponding period in 2006 .
positive,operating profit rose to eur 27.8 mn from eur 17.5 mn in 2008 .
positive,operating profit rose to eur 3.2 mn from eur 1.0 mn in the corresponding period in 2008 .
positive,operating profit rose to eur 4.7 mn from eur 3.6 mn .
positive,operating profit rose to eur 4.7 mn from eur 4.6 mn .
positive,operating profit rose to eur 9.2 mn from eur 6.8 mn in the corresponding period in 2007 .
positive,operating profit rose to eur2 .4 m from eur1 .6 m year earlier .
positive,"operating profit surged to eur21m from eur106 ,000 ."
positive,"operating profit totaled eur 37,7 mn up slightly from eur 37.2 mn in the corresponding period in 2006 ."
positive,operating profit wa eur 11.4 mn up from eur 7.5 mn .
positive,operating profit wa eur 139.7 mn up 23 from eur 113.8 mn .
positive,order intake grew by 40 year-on-year and 30 year-on-year respectively to eur 576 million and eur 1.7 billion for the respective january-september and july-september 2010 period .
positive,order received grew by 55 year-on-year to eur732m .
positive,passenger volume rose by 8.4 in the accounting period .
positive,passenger-related revenue rose by 5.1 to eur 460.8 mn from eur 438.5 mn in 2009 .
positive,press release 9 october 2009 ruukki ha signed a contract to deliver and install the steel structure for a bridge over the kyronsalmi strait in savonlinna finland .
positive,pretax profit rose to eur 0.6 mn from eur 0.4 mn in the corresponding period in 2005 .
positive,"pretax profit rose to eur 1,019 mn from eur 1,007 in the corresponding period in 2005 ."
positive,pre-tax profit totaled eur 397.4 mn up from eur 164.7 mn .
positive,previously the company had guided for ebit and sale growth of 20 pct and 10 pct respectively for this year .
positive,previously the company ha estimated it operating profit to reach the level of 2005 only .
positive,profit for the period totaled eur 39.4 mn up from eur 33.9 mn in the corresponding period in 2006 .
positive,profit for the period wa eur 5.9 mn up from eur 1.3 mn .
positive,profit for the period wa eur 9.8 mn up from eur 6.0 mn in 2004 .
positive,revenue grew 12 percent to ( x20ac ) 3.6 billion ( u $ 4.5 billion ) .
positive,revenue in july to september grew 14 percent to ( euro ) 467 million from a year earlier the company said thursday .
positive,revenue at the same time grew 14 percent to 43 million euro .
positive,ruukki ha signed a contract to deliver and install the steel structure for a bridge over the kyronsalmi strait in savonlinna finland .
positive,sale in latin america increased by 42 to eur 432mn and a total of 8.7 mn mobile device were sold in the area representing an increase of 32 from the corresponding period in 2009 .
positive,sale of clothing developed best .
positive,sanoma magazine finland net sale grew to eur 140.1 mn from eur 131.8 mn .
positive,"satama net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 ."
positive,section : regional news - the demand in finnair asian traffic measured in passenger kilometer wa up 34.9 in august compare to last year .
positive,svyturys-utenos alus which is controlled by the nordic group baltic beverage holding ( bbh ) posted a 6.1 percent growth in beer sale for january-september to 101.99 million liter .
positive,the agreement expands tekla structure scope of use to bridge design .
positive,the aim is to increase sale by at least one fifth in 2006 .
positive,the chain posted sale of 298 million euro for full 2005 a rise of 19.5 percent year-on-year .
positive,the company expects it net sale in 2008 to increase 5-10 from 2007 .
positive,the company expects it net sale in the first half of 2008 to reach the previous year level .
positive,"the company is in the process of building a new fleet and ha placed order for 10 p-max tanker of 65,200 dwt ."
positive,"the fair value of the investment property totaled eur 2,534.9 mn up from eur 2,455.1 mn in 2006 ."
neutral,the firm generated sale of 187 mln eur in 2005 .
positive,the german company ha also signed a code share agreement with another oneworld member american airline inc part of us-based amr corp ( nyse : amr ) .
positive,the helsinki-based company which also owns the salomon atomic and suunto brand said net profit rose 15 percent in the three month through dec. 31 to ( x20ac ) 47 million ( $ 61us million ) from ( x20ac ) 40.8 million a year earlier .
positive,the operating profit for grain trading increased to eur 2.0 mn from eur 1.4 mn in 2005 .
positive,the stock rose for a second day on wednesday bringing it two-day rise to gbx12 .0 or 2.0 .
positive,the stock rose for a third day on tuesday bringing it three-day rise to gbx10 .50 or 1.8 .
positive,the transaction is in line with aspo strategy to expand in the baltic sea region and in the eastern market .
positive,the transaction would increase earnings per share in the first quarter by some eur0 .28 .
positive,there ha been some recovery of the base metal price and increased demand for metal in china however .
positive,this new representation extends comptel global presence to a total of 18 country serving over 250 customer in over 80 country worldwide .
positive,tietoenator itself us nokia intellisync mobile suite wireless email calendar and device management capability and the company will now extend these service to it customer .
positive,vacon cash flow from operation grew to eur 37.1 mn from eur 21.9 mn a year ago .
neutral,vacon will supply drive to ruselprom in the power range from 200 kw up to 2 mw .
positive,via the satlan acquisition teleste plan to further expand it market presence a a video service partner for cable operator broadcaster and iptv service provider .
positive,with the acquisition the company will expand it offering to north central and south america it said .
positive,with the extension of the new contract for a further eight engine the plant will now produce over 100 mw it said .
positive,yit say the acquisition is a part of it strategy for expansion in central and eastern european market .
positive,basware product sale grew strongly in the financial period by 24 percent .
positive,the second quarter of 2010 wa the firstquarter with growth in net sale since the third quarter of2008 said magnus rosen ramirent ceo .
positive,the transaction strengthens our position ... in design and branded good said fiskars president and ceo heikki allonen pointing out that the two group have relatively few overlapping operation .
positive,1 february 2011 - finnish textile and clothing company marimekko oyj hel : mmo1v said today it preliminary operating profit grew to eur8 .2 m in 2010 from eur6 .3 m in 2009 .
neutral,finnish componenta ha published it new long-term strategy for the period 2011-2015 with the aim of growing together with it customer .
positive,finnish larox ha signed a contract with the talvivaara project for the delivery of filter to the talvivaara nickel mine in sotkamo in finland .
positive,affecto expects it net sale for the whole 2010 to increase from the 2009 level when they reached eur 103 million .
positive,commission income rose by 25.7 to eur 16.1 mn from eur 12.8 mn in 2004 .
positive,componenta objective with this agreement is to increase business on it existing production line .
positive,earnings per share for january-june 2010 were eur0 .30 an increase of 20 year-on-year eur0 .25 .
positive,earnings per share eps rose to eur 0.11 from eur 0.03 .
positive,eps for the quarter came in at 0.36 eur up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .
positive,eps grew to 0.04 eur from 0.02 eur .
positive,export grew 16.5 percent to 19.1 million liter .
positive,finnish investment group panostaja oyj said it net profit went up to 8.6 mln euro $ 11.4 mln in fiscal 2005-06 ended october 31 2006 from 2.8 mln euro $ 3.7 mln in the same period of fiscal 2004-05 .
positive,finnish metal component supplier componenta oyj said it net profit went up to 3.5 mln euro $ 4.5 mln in 2006 from 2.2 mln euro $ 2.8 mln in 2005 .
positive,finnish silicon wafer technology company okmetic oyj omx helsinki : okm1v reported on thursday 30 october an operating profit of eur7 .4 m for january-september 2008 up from eur6 .1 m in the corresponding period in 2007 .
positive,fiskars brand report net sale of eur 145.8 mn up from eur 138.4 mn .
positive,geosentric oyj s geosolutions business unit gypsii the mobile digital lifestyle application and geo-mobility social networking platform ha signed an agreement with nanjing mynet to make the gypsii mobile social networking platform available to customer of china mobile .
positive,helsinki afx - outokumpu technology said it ha signed a 3.5 mln eur agreement with mongolia erdenet mining corporation for the engineering of the first hydrocopper plant to be built at the erdenet mine site .
positive,however the proportion of the paid standing order grew in 2009 .
positive,in addition to the demand in finland the export of lining stone product also increased .
positive,in january-september 2007 the group net sale from continuing operation rose to eur 213.1 mn from eur 172.6 mn in the corresponding period in 2006 .
positive,in july-september 2008 yit net sale increased to eur 970.8 mn compared to eur 906.8 mn in the corresponding period in 2007 .
positive,in the reporting period net sale rose by 8 year-on-year to eur64 .3 m due to the business acquisition realized during the first half of 2008-09 the effect of which wa eur10 .9 m in the review period .
positive,in the reporting period the company operating profit grew by 43.2 to eur 6 million .
positive,last year net sale rose to eur 68.3 million from eur 62.2 million .
positive,adp news - nov 18 2008 - finnish ac drive manufacturer vacon oyj omx : vac1v said today that it had set up new representative office in romania and ukraine to serve the growing market in eastern and southeastern europe .
positive,net sale surged by 30 to eur 36 million .
positive,net sale went up by 1 year-on-year to eur 29 million affected by the business acquisition realized during the previous financial period the effect of which wa eur 5.1 million on the review period .
positive,nevertheless it market share rose to 49.14 percent from 48.51 percent a year earlier .
positive,olvi which control a 94 percent stake in ragutis through a. le coq said in it annual report published earlier this year that the lithuanian brewery sale reached 15.04 million euro last year a rise of 20.4 percent from 12.49 million euro in 2004 .
positive,olvi expects sale and market share to increase in the first quarter of 2010 .
positive,operating profit increased to eur 14.0 mn from eur 4.9 mn in the corresponding period in 2005 .
positive,operating profit of the asian plant grew markedly .
positive,operating profit totaled eur 825mn up from eur 763mn in 2004 .
positive,operating profit totalled eur 83.0 mn up from eur 23.5 mn year-on-year .
positive,production capacity will increase from 36 000 to 85 000 tonne per year and the raw material will continue to be recycled paper and board .
positive,profit for the period increased from eur 2.9 mn to eur 10.5 mn .
positive,profit per share wa eur 1.03 up from eur 0.87 .
positive,revenue from july to september grew 21 percent to euro 2.3 billion the finnish company said thursday .
positive,revenue grew 1 percent to euro742 .2 million u $ 964 million from euro735 million .
positive,ruukki order book at the end of 2010 wa 30 up year-on-year and 10 up quarter-on-quarter .
positive,sale of security and system packaging increased slightly .
positive,stora enso third-quarter pre-tax profit doubled to eur 197mn .
positive,the airline ha ordered nine airbus a350-900 aircraft with delivery from 2011 and in doing so becomes the lead airline for the latest variant of rolls-royce trent series engine called the 1700 .
positive,"the company is now intensifying it smelter operation and increasing it annual production capacity to 230,000 tonne of copper ."
positive,the company market share is continued to increase further .
