Category,description
positive,finnish software developer done solution oyj said it net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 .
positive,ragutis which is controlled by the finnish brewery reported a 5.4-per-cent rise in beer sale to 10.44 million litre and held an 11.09-per-cent market share .
positive,in addition kone signed a two-year maintenance contract for the escalator .
positive,in the second quarter of 2010 the group net profit rose to eur 3.1 million from eur 2.5 million in april-june 2009 .
positive,in the third quarter net sale increased by 12 year-on-year to eur159 .5 m or by 6 at comparable currency rate growth .
positive,it market share widened to 48.51 percent from 48.31 percent a year earlier .
positive,( adp news ) - feb 6 2009 - finnish fishing tackle company rapala vmc corp ( hel : rap1v ) said today it net profit rose to eur 19.2 million ( usd 24.6 m ) for 2008 from eur 17.5 million for 2007 .
positive,net interest income wa eur 152.2 mn up from eur 101.0 mn in 2008 .
positive,net interest income wa eur 39.3 mn up from eur 32.7 mn .
positive,net sale of the vegetable oil business rose to eur 10.6 mn from eur 10.1 mn .
positive,nokia multimedia net sale totaled eur 5.7 bn up 45 from the corresponding period in 2005 .
positive,operating income rose to eur 696.4 mn from eur 600.3 mn in 2009 .
positive,operating profit rose to 22.1 mln eur from 19.9 mln .
positive,operating profit rose to eur 1.6 mn from eur 1.1 mn in the corresponding period in 2006 .
positive,operating profit rose to eur 103.4 mn from eur 23.2 in the corresponding period in 2006 .
positive,operating profit rose to eur 13.5 mn from eur 9.7 mn in the corresponding period in 2006 .
positive,operating profit totaled eur 5.5 mn up from eur -0.7 mn .
positive,orion pharma operating profit increased by 42.5 from 2004 .
positive,pretax profit rose to eur 17.8 mn from eur 14.9 mn in 2005 .
positive,that would be an increase from estimated sale of 117 million last year .
positive,the company operating income ( ebit ) totalled eur 0.0 mn up from eur -0.3 mn year-on-year .
positive,the eps outlook wa increased by 5.6 pct for 2007 and 7.0 pct for 2008 .
positive,the finnish government announced wednesday that it sold a 32 percent stake in chemical and fertilizer group kemira oyj for ( x20ac ) 655.6 million ( $ 890us million ) sending the company share price up 6 percent .
positive,the increase in capital stock ha been registered in the finnish trade register on 20 november 2006 .
positive,total operating revenue grew by 27.6 year-on-year to eur61m .
positive,we also strengthen our existing partnership with cybercom say teleste cto esko myllyla .
positive,cash flow from operation rose to eur 52.7 mn from eur 15.6 mn in 2007 .
positive,elisa said mobile subscription grew 7 percent during 2007 mainly because of customer adopting so-called third generation mobile technology .
positive,last year the company raised it turnover to approximately 7 million litas eur 2 mln from 6.1 million litas in 2004 .
positive,marimekko group full-year net sale are estimated to increase by about 10 .
positive,nokia - the world largest mobile phone manufacturer - and china postel - china largest mobile phone distributor - have a long-standing partnership that continues to grow stronger over time .
positive,october-december sale were 302 mln eur or a 25.3 pct increase year on year .
neutral,olvi target is to strengthen it market share in soft drink mineral water cider long drink and energy drink .
positive,return on capital employed rose by 4.8 percentage point to 19.6 .
positive,ruukki signed the contract with norwegian company veidekke entreprenor a .
positive,sale in finland rose by 3.9 and international growth wa 0.7 .
positive,strongest growth wa seen in the new market in russia the czech republic and slovakia .
positive,the company said that it investment in the new market area resulted in sale increase in sweden poland russia and lithuania .
positive,the disposal of autotank will also strengthen aspo capital structure commented gustav nyberg ceo of aspo .
positive,the earnings per share for the quarter came in at 0.25 eur up from the 0.20 eur of the same quarter a year earlier .
positive,the economic occupancy rate of sponda property portfolio rose to 91.2 from 88.8 in 2006 .
positive,the growth in the activeness of talentum customer which started at the end of 2009 continued during the reporting period the company stated .
positive,the growth of net sale in the first half of 2008 ha been 28 compared with the first half of 2007 .
positive,the pretax profit of the group life insurance business increased to eur36m from eur27m .
positive,the value of the firm forestry holding increased by sek 3.6 bn .
positive,xerox and stora enso have teamed up to tailor the igen3 to the short-run on-demand packaging market .
positive,the upgrade is intended to raise the network capacity from 450 mhz to 630 mhz in several city enabling bi-directional service for digital television a well a broadband data .
neutral,the finnish company stockmann ha signed the contract with the company technopolis .
neutral,at the same time the market for automated liquid handling device is already larger than that for pipette according to biohit .
neutral,efore ceo reijo maihaniemi said that the company ha developed and already delivered power supply unit to respective system based on this technology to chinese sector company zte corp she : 000063 .
neutral,the estimated value of the contract is eur12 .4 m. vaisala headquartered in helsinki in finland develops and manufacture electronic measurement system for meteorology environmental science traffic and industry .
positive,thereby the company will expand it offering to north central and south america .
neutral,alexandria va. march 28 pertti salmi and hanna vuolteenaho both of oulu finland and sami viitasaari of ii finland have developed an ornamental design for a handset the u.s. patent & trademark office announced .
neutral,biohit inc. ha expanded it mline family of pipettors with the addition of the new 1-10 ml volume range .
negative,compared with the ftse 100 index which rose 36.7 point ( or 0.6 ) on the day this wa a relative price change of -0.2 .
neutral,delivery are to start later in 2010 and the volume will increase in the year 2011-2012 .
positive,finland nokian tyre and kazakhstan ordabasy corporation signed an agreement to build a plant in astana to produce car tire ordabasy chairman dinmukhamet idrisov said at a press conference .
positive,finnish silicon wafer manufacturer okmetic oyj said on june 29 2007 it signed an agreement with nordea bank finland plc the local subsidiary of swedish commercial bank nordea bank ab which will refinance okmetic syndicated bank facility which amount to some 20 mln euro ( $ 26.9 mln ) .
positive,is planning to expand it product portfolio in the harbor segment chief executive pekka lundmark told financial time deutschland .
neutral,milan ( afx ) - the italian shipping group grimaldi ha increased it stake in the finnish company finnlines to 35.4 pct from the 30.5 pct held in june according to news agency ansa .
neutral,nokia messaging 1.1 enables customer to receive e-mail from up to 10 e-mail account on their mobile phone supporting all pop or imap e-mail service .
neutral,share repurchase 11.01.2008 in the helsinki stock exchange on behalf of sampo plc danske bank a-s helsinki branch
neutral,takoma will carry out the transaction by acquiring the entire share capital of moventas parkano oy which run the factory in parkano southern finland .
positive,the agreement will provide the switch with double the converter capacity whilst opening up further manufacturing location in china .
positive,the company also said on november 16 2006 it real estate fund i ky signed an agreement with finnish window maker fenestra oy to build a window plant in forssa southern finland .
neutral,the contract value amount to about eur11m the company added .
positive,the contract have been signed to acquire uranium produced at the sotkamo nickel-zinc mine in eastern finland owned by talvivaara .
positive,"the omx nordic 40 ( omxn40 ) index comprising the 40 most traded nordic stock on the nasdaq omx exchange closed up 0.43 at 1,138.84 point on wednesday ."
positive,"the omx nordic 40 ( omxn40 ) index comprising the 40 most traded nordic stock on the nasdaq omx exchange closed up 1.29 at 1,084.47 point on friday ."
neutral,of course we are in talk with all those coming up with new project that involve material handling konecranes president and ceo pekka lundmark said when asked whether it wa talking to reliance industry for supplying equipment to it upcoming refinery in jamnagar .
neutral,"a corresponding increase of 85,432.50 euro in ahlstrom share capital ha been entered in the trade register today ."
neutral,a in august 2007 latvijas finieris ordered all production line for a new green veneer mill to be built in ukmerge central lithuania .
neutral,aldata said that there are still a number of operational aspect to be defined between it and microsoft and further detail of the product and market initiative resulting from this agreement will be available at a later date .
neutral,"cargotec share capital after the increase total eur 64,299,180 ."
positive,earnings per share eps are seen at eur 0.56 up from eur 0.38 .
positive,estonia beer market overall grew three percent last year to 130 million liter .
positive,finnish lifting equipment maker konecranes hel : kcr1v said on 29 july 2009 it ha raised it stake in austrian manipulator maker ac konecranes to 80 and bought german sector player knight europe .
neutral,finnish paper maker upm-kymmene corp. on monday announced the sale of it wrapping unit walki wisa to the capman investment group in a move to further concentrate on it core business .
neutral,following the increase the company+eur tm s capital total 5.5 mln romanian lei $ 1.98 mln-1 .56 mln euro .
neutral,jacob ha been supporting storengy investment of developing storage site since 2006 a owner engineer .
positive,most of the increase in net sale wa due to the acquisition of swedish silva that produce garden tool and boat .
neutral,"the corresponding share capital increase eur 1,012,945.50 wa entered in the trade register today ."
positive,the equipment will expand container handling capacity at namibia main port of walvis bay on the west coast .
positive,the expansion includes the doubling of the floor space and the addition of more lifting capacity and production equipment .
neutral,u.s. district judge douglas p. woodlock yesterday extended a jan. 17 temporary restraining order until march 7 .
positive,operating profit wa eur 11.07 mn up from eur 8.65 mn .
negative,peer peugeot fell 0.81 pct a it sale rose only 6.3 pct from the same period last year .
positive,significance : teleste ha emphasised that with it large size and growing economy a well a the rapid development of it tv service distribution industry poland is viewed a an attractive market .
positive,in finland insurance company pohjola and the finnish motorcyclist association have signed an agreement with the aim of improving motorcyclist traffic safety .
positive,kalnapilio-tauro grupe ( kalnapilis-tauras group ) which is owned by denmark royal unibrew raised it market share to 25.18 percent from 23.74 percent a beer sale for the seven month jumped by 14.5 percent to 40.5 million liter .
positive,marimekko ha today ( 20 november ) signed a license agreement with the swedish chain whereby marimekko will license some of it popular pattern from the 1950s 1960s and 1970s to h & m .
positive,rautaruukki corporation stock exchange release 3 december 2009 at 12 noon ruukki construction and engineering division are to further improve and adjust their operation in finland .
positive,the company now estimate it net sale in 2010 to increase considerably from 2009 and it operating result to be clearly positive .
positive,the tower it chose to add due to go into operation in the summer will increase total capacity to 80 broadsheet or 160 tabloid page with the ability to run 32 - and 48-page product side by side .
positive,basware corporation stock exchange release august 31 2010 at 16:25 basware signed a large deal with an international industrial group basware will deliver invoice automation solution and connectivity service to an international industrial group .
positive,with this appointment kaupthing bank aim to further co-ordinate capital market activity within the group and to improve the overall service to client .
neutral,"following this increase huhtamaki registered share capital is eur360 .62 m and the number of share outstanding is 106,063,320 ."
neutral,the company ha also supplied more than 200 mw of power generating equipment for a number of project in papua new guinea including 12 engine of the wartsila 32 type to lihir gold .
neutral,under the agreement pfizer ha been funding biotie research activity on the pde10 phosphodiesterase 10 inhibitor program since it start in late 2006 and ha the sole authority to develop discovered compound .
neutral,when the omx market forward mature on may 16 2008 novator finland oy direct shareholding in amer sport corporation will exceed one-fifth 1-5 of the company share and voting right .
neutral,these test are part of a larger campaign which includes various customer trial and demonstration to make lte on 800 mhz commercially viable by this summer nokia siemens head of lte business line reino tammela said .
positive,finnish ahlstrom corporation will double it investment in a new specialty glassfiber reinforcement plant in south carolina in the u .
neutral,helsinki on october 22 2008 ssh communication security corp board of director for further information please contact : tomi laamanen chairman tel . +358 0 400 609 544 distribution : nasdaq omx helsinki ltd. .
positive,the contract wa signed in august with papua new guinea-based lihir gold ltd asx : lgl .
neutral,the offer of some 30 million share aimed to raise more than x20ac 500 million u $ 640 million wa expected to be completed by oct. 9 outokumpu said .
positive,with this agreement we can continue our good cooperationand at the same time release capital that ha been tied up in ourmachinery operation .
positive,we succeeded in increasing our market share of sold apartment comment mr kari kauniskangas head of yit international construction service .
positive,finnish suominen corporation that specialises in wet wipe nonwovens and flexible packaging report net sale of eur 44.1 mn in the second quarter of 2010 up from eur 43.3 mn in the second quarter of 2009 .
positive,finnish telecom software developer tecnomen oyj said on december 5 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging system for the mobile and fixed network of brasil telecom .
positive,mr priit kasak balti metsamasina owner said the rakvere-based company wish to increase valmet market share from 27 to a third in a couple of year .
neutral,ponsse plan to create a network that is based on strong partnership and participates in the production of larger entity than presently .
positive,the bank see a potential for getinge share to rise .
positive,london afx - share in rautaruukki corp have been upgraded to hold from sell by abn amro with the price target raised to 25.75 eur from 14.5 said dealer .
positive,"the 250 sq m 2,691 sq ft store in copenhagen premier shopping district wa inaugurated today further strengthening the company presence in nordic capital ."
positive,selects third party logistics leader transplace for best-in-class technology procurement capability ; leading specialty packaging manufacturer employ complete 3pl solution for supply chain visibility and transportation efficiency to increase service level and on-time delivery
neutral,according to eijkens a publisher can do much more than just publish colourful book : a publisher can provide value added to information by individualising it .
neutral,cdp wa established on the initiative of institutional investor ; however the annually published result also interest an increasing number of customer and other interest group of the reporting company .
positive,ixonos ha a rich heritage in developing leadership experience in the smartphone segment .
positive,18 january 2010 - finnish it consultancy trainer house oyj hel : trh1v said last friday it resolved to issue a eur5m hybrid bond to domestic investor in a bid to strengthen it capital structure .
neutral,alexandria va. oct. 15 aaron moss of hampshire great britain ha developed an ornamental design for a handset the u.s. patent & trademark office announced .
positive,by combining it existing solution into a single platform comptel said that it ha reduced the cost of deployment .
positive,"finnish metal product company componenta oyj ( hel : cth1v ) said today it net loss narrowed to eur 500,000 ( usd 680,000 ) in the last quarter of 2010 from eur 5.3 million for the same period a year earlier ."
positive,finnish fiber and plastic product maker suominen corporation said it net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine month of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .
positive,adp news - nov 13 2008 - finnish printed circuit board pcb maker aspocomp group oyj omx : acg1v said today that it net loss narrowed to eur 2 million usd 2.5 m in the first nine month of 2008 from eur 57
positive,metsaliitto however narrowed it net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .
positive,the diluted loss per share narrowed to eur 0.27 from eur 0.86 .
negative,in 2009 comptel slipped to a net loss of eur2 .1 m from a profit of eur6 .6 m in the previous year .
negative,profit before tax amounted to eur 56.5 mn down from eur 232.9 mn a year ago .
positive,finnish bore that is owned by the rettig family ha grown recently through the acquisition of smaller shipping company .
negative,also construction expense have gone up in russia .
neutral,the european central bank ecb is anticipated to raise it benchmark interest rate in the second half of 2011 at the earliest .
negative,salonen added that data show producer pulp inventory in north america are declining .
negative,the elcoteq group recently announced that the last three month of the previous year brought to it a major loss of more than half a billion kroon ( eur 32 mln ) for the fifth quarter running .
positive,turnover surged to eur61 .8 m from eur47 .6 m due to increasing service demand especially in the third quarter and the overall growth of it business .
positive,upm delivery increased during the third quarter by 4 percent and the efficiency of operation improved chief executive jussi pesonen said .
positive,global sport equipment maker amer sport corp. whose brand include atomic salomon and wilson saw a 64 percent increase in third-quarter net profit to euro 47.4 million $ 65 million on strong sale and cost cut .
positive,due to rapid expansion the market share of tallink in term of passenger carriage through tallinna sadam port of tallinn totaled 55 percent in november against 45.7 percent in november 2005 .
positive,finnish industrial investor panostaja oyj omx helsinki : pnaas omx helsinki : pnabs said on friday 11 july that it ha signed a deal to acquire the entire share capital of kospa oy the manufacturer of waste disposal equipment .
positive,earnings per share ( eps ) were eur0 .03 up from the loss of eur0 .083 .
positive,operating result including non-recurring item rose to eur 146mn from a loss of eur 267mn in 2009 .
positive,tiimari the finnish retailer reported to have geenrated quarterly revenue totalling eur 1.3 mn in the 4th quarter 2009 up from eur 0.3 mn loss in 2008 .
positive,okmetic product are based on high-tech expertise that generates added value for customer innovative product development and an extremely efficient production process .
positive,cencorp estimate that it net sale in the last quarter will be a earlier stated eur4 .3 m to eur5 .0 m and operating profit ( ebit ) is estimated to be positive .
positive,our customer ha been satisfied with basware invoice automation solution and extends the implementation to new geography .
positive,by separating side business we will be able to faster expand and develop tapro retail network .
positive,our strategic cooperation with rentakran brings u new customer and already-working relationship with the authority of the new territory said jarmo laasanen a senior manager at cramo .
neutral,patja ha worked well for u for more than a decade and fujitsu new bid wa competitive .
positive,the margarine business ha been put into good shape in the last two year making it a natural addition to bunge which is looking to leverage it position in the central and northern european market raisio ceo matti rihko said in a statement .
positive,this is a win for all oems targeting to develop wimax product .
positive,a portion $ 12.5 million will be recorded a part of it winning in a prior patent dispute with finnish phone maker nokia oyj .
positive,according to a-rehu managing director jouko lahtinen the project will stabilise cost and improve supply security .
positive,according to ceo matti karppinen frozen food posted a good result in 2010 a it did in 2009 .
positive,benefon a wireless and gps technology company will supply karputer with it twig navigation platform a gps satellite navigation and voice guidance service .
positive,demand wa brisk a expected and order level have remained high .
neutral,in 2005 cargotec net sale exceeded eur 2.3 billion .
positive,kalmar ha been awarded a new 5-year contract to supply it rough terrain container handler rtch .
positive,major order in india comptel corporation ha received a significant long-term order for mediation and provisioning solution being used by a leading operator in india .
positive,net cash flow from operation is expected to remain positive .
positive,of the price kesko share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .
positive,olvi ha posted a strong set of figure for the first six month of this year .
positive,ponsse project the forest machine market to improve more than expected in 2010 from the previous year .
positive,raisio bid to buy glisten is a win-win deal for both company the chairman of the uk snack firm told just-food today 10 february .
positive,talvivaara also maintains it assumption of turning cash flow positive before the year end .
positive,the group business is balanced by it broad portfolio of sport and presence in all major market .
neutral,the group business is balanced by it broad portfolio of sport and presence in all major market .
positive,the objective of the planned measure is to achieve significant saving in the next few year .
positive,the transaction will have a positive impact of around eur2m on earnings which ruukki will recognize during the fourth quarter of this year .
positive,this is a repeat order to follow successfully installed 159 elevator in the same delhi metro system kone spokeswoman told thomson financial news .
positive,stonesoft see great promise in the future of ipv6 .
positive,we continued actively to focus r & d and to position our offering away from point solution towards dynamic end-to-end solution ervio stated .
positive,16 february 2011 - finnish industrial machinery company metso oyj ( hel : meo1v ) said today it will deliver mineral processing equipment and basic engineering to canadian miner northland resource ( osl : naur ) ( tse : nau ) .
positive,finnish metso paper ha won an order to supply an uncoated fine paper machine to mcc paper yinhe in china .
positive,according to schmardin nordea will most likely try to win customer over from other pension fund provider .
positive,all of raisio division recorded an operating profit .
positive,citigroup inc ( nyse : c ) ha announced that it global transaction service ( gts ) business ha been awarded a new mandate by finland-based pohjola bank group .
positive,finnish handling system company cargotec oyj ( hel : cgcbv ) said today that it won a eur 13 million ( usd 16.6 m ) contract to deliver macgregor hatch cover for ship ordered by norwegian shipowner grieg shipping .
positive,however simdax will remain available in the market where it already ha been approved a it ha marketing authorisation or submitted application in more than 40 country orion added .
positive,however the broker gave an outperform recommendation on the stock .
positive,however the total order received will still be above last year s level .
positive,kone factory located at ayanambakkam a suburb to the west of chennai is a fully integrated facility which give it the capability to address cost .
positive,last year sysopen digia invested in ibm product know-how in the building of portal and trading place system and successfully implemented customer solution supported by it .
positive,( adp news ) - oct 1 2008 - finnish consulting and engineering company poyry oyj ( omx : poy1v ) said today it wa awarded a eur 5.2 million ( usd 7.4 m ) extension to their existing consultancy engineering contract with venezuel
positive,meanwhile electrowatt-ekono philippine inc. wa also awarded a three-year operation and maintenance ( o & m ) contract by fr cement corporation .
neutral,metso paper delivery will comprise an advantage dct 200 tissue machine including quality control and distributed control system ( qcs-dcs ) .
positive,nevertheless fitch note that the business fundamental of the three bank currently remain sound .
positive,nordic business report-26 june 2006-metso corporation win eur50m equipment order in australia -_ 1998-2006 m2 communication ltd the finnish engineering and technology group metso corporation said on monday ( 26 june ) that it ha received a eur50m equipment order in australia .
positive,of the sale price a sale gain of some 3.1 mln euro ( $ 4.5 mln ) will be recognized in incap earnings for 2007 .
positive,outotec net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .
positive,profitability ( ebit ) wa 13.9 compared to 13.1 in the previous-year period .
positive,speaking to just-drinks today a spokesperson for olvi said : we have performed very well in all four country we operate in - namely finland estonia latvia and lithuania .
positive,the amending of the proposal simplifies the proposed plan and increase the incentive for key employee to stay in the company .
positive,the company aim to maintain this trend in profitability during the current year .
positive,the group also ha a strong global position in other fishing category .
positive,the mill ha long tradition and hold an established position in the market .
positive,the party have also agreed on option that allow uh to extensively implement later on also functionality of human resource management .
positive,this is done logistics largest order in norway the diversified group said .
positive,this resulted in improved sale figure in sweden .
positive,vaisala also said it expects net sale of eur 253.2 million for 2010 compared with eur 252.2 million recorded in 2009 .
positive,validating our fgvoip client through symbian signed represents a significant step forward in accomplishing this goal .
positive,wartsila won the contract in october 2007 and the plant will be installed at manturovo in the kostroma region of russia about 600 km northeast of moscow russia .
positive,demand for sport equipment wa good in 2005 .
positive,the new structure provides better communication faster decision-making and cost saving proha said .
positive,21 december 2010 - finnish industrial machinery company wartsila oyj abp hel : wrt1v said yesterday it had won an order to design a liquefied natural gas lng powered platform supply vessel psv for norwegian oil service provider eidesvik offshore asa osl : eiof .
positive,a a result the distribution company will start to distribute in addition to their current product offering shimano reel rod and other shimano fishing tackle product on an exclusive basis .
positive,ceo erkki j+ærvinen is happy with the company performance in 2010 .
positive,earnings per share for the quarter were also higher year-on-year at 0.33 eur versus 0.27 and above market expectation of 0.28 eur .
positive,ebitda for the year 2009 improved to eur484m a compared with eur472m in 2008 .
positive,"estonian telecom company elisa customer number cross 400,000 tallinn oct 22 bns - the estonian telecommunication company elisa won approximately 50,000 new client in the nine month of this year bringing the number to 401,800 by the end of september the company said ."
positive,fi is developing cooperation in keyword advertising with microsoft .
positive,however sale volume in the food industry are expected to remain at relatively good level in finland and in scandinavia atrium said .
positive,mr kivimeister said john deer former timberjack stand to win in the situation : it control around 60 of estonia forest machinery market .
positive,operating profit improved by 39.9 to eur 18.0 mn from eur12 .8 mn .
positive,operating profit improved by 44.0 to er 4.7 mn from eur 3.3 mn in 2004 .
positive,outokumpu chief executive juha rantanen expressed his confidence in china market .
positive,teleste and sentry 360 have formed an integration partnership between sentry s advanced 360-degree immersive camera product line and teleste s enterprise video management system .
